reg_id,uri,type,"name (en)","label (en)","lexicalAlias (en)","description (en)","note (en)","comment (en)",domain,range,hasUnconstrained,parent_class,subClassOf,parent_property,subPropertyOf,inverseOf,sameAs,propertyDisjointWith,disjointWith,equivalentClass,equivalentProperty,"altLabel (en)",broadMatch,closeMatch,narrowMatch,status,instructionNumber,"ToolkitLabel (en)","ToolkitDefinition (en)","changeNote (en)"
uri,reg:uri,rdf:type,reg:name,rdfs:label,reg:lexicalAlias,skos:definition,skos:scopeNote,rdfs:comment,rdfs:domain,rdfs:range,reg:hasUnconstrained,rdfs:subClassOf,rdfs:subClassOf,rdfs:subPropertyOf,rdfs:subPropertyOf,owl:inverseOf,owl:sameAs,owl:propertyDisjointWith,owl:disjointWith,owl:equivalentClass,owl:equivalentProperty,skos:altLabel,skos:broadMatch,skos:closeMatch,skos:narrowMatch,reg:status,rdakit:instructionNumber,rdakit:toolkitLabel,rdakit:toolkitDefinition,skos:changeNote
lang,en,,en,en,en,en,en,en,,,,,,,,,,,,,,en,,,,,,en,en,en
type,uri,property,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,,property,property,property,property,property,,,
meta,token,cbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"Comic Book Schema (Core)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,schema_id,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://comicmeta.org/cbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"A minimal list of elements for implementing the Comic Book Ontology metadata vocabulary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"comic books, graphic novels",,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://comicmeta.org/cbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,schema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,cbo,http://comicmeta.org/cbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22780,cbo:/certNumber,property,certNumber,"certification number",cbo:/certNumber.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22777,cbo:/Collection,class,Collection,Collection,cbo:/Collection.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22779,cbo:/Collector,class,Collector,Collector,cbo:/Collector.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22778,cbo:/Comic,class,Comic,Comic,cbo:/Comic.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22792,cbo:/condition,property,condition,condition,cbo:/condition.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22781,cbo:/country,property,country,country,cbo:/country.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22789,cbo:/edition,property,edition,edition,cbo:/edition.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22788,cbo:/format,property,format,format,cbo:/format.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22793,cbo:/grade,property,grade,grade,cbo:/grade.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22782,cbo:/imprintName,property,imprintName,"imprint name",cbo:/imprintName.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22783,cbo:/issueNumber,property,issueNumber,"issue number",cbo:/issueNumber.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22787,cbo:/language,property,language,language,cbo:/language.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22790,cbo:/printing,property,printing,printing,cbo:/printing.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22784,cbo:/seriesTitle,property,seriesTitle,"series title",cbo:/seriesTitle.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22785,cbo:/seriesYear,property,seriesYear,"series year",cbo:/seriesYear.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22791,cbo:/variance,property,variance,variance,cbo:/variance.en,,,,,,,,,,,,,,,,,,,,,1,,,,
22786,cbo:/volumeNumber,property,volumeNumber,"volume number",cbo:/volumeNumber.en,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
